Cyberpunk 2077,5,"bu oyun bayağı iyi  çok  detaylı ve aşırı üzerinde uğraşılmışl bir oyun oldugu her yerinden belli açık dünya oyuncuları bu oyunu çok seveceğine eminim.
",2025-05-24
God of War: Ragnarök,4,"Kratos ve Atreus'un epik yolculuğunun devamında görsel bir şölen. Sinematik anlatımı, derin dövüş mekanikleri ve İskandinav mitolojisi harmanıyla PlayStation'ın başyapıtlarından biri",2025-05-24
Devil May Cry 5,5,"Stylish Action'ın zirvesi! Komboların akıcılığı, karakter çeşitliliği ve 4K/60fps performansıyla serinin hayranlarını mutlu eden teknik mükemmellik.",2025-05-24
Horizon Forbidden West,5,Robotik yaratıkların hüküm sürdüğü post-apokaliptik dünyada soluk kesici görsel detaylar ve yenilikçi savaş sistemi. PS5'in DualSense özellikleriyle tam uyumlu,2025-05-24
The Witcher 3: Wild Hunt,5,"RPG tarihinin kilometre taşı. 150+ saatlik ana hikaye, unutulmaz yan görevler ve muazzam karakter gelişimiyle oyuncuları büyüleyen bir fantazi epiği.",2025-05-24
God of War: Ragnarök,2,o kadar da iyi bir oyun değil tek düze ve hep aynı şeyler anlatılmış eski oyunları da var... çok benlik değil,2025-05-25
Cyberpunk 2077,1,"çok kötü çıtığı için bu oyunu satın almamıştım fakat şu anda da DLC lerle birklikte çok pahalı diye alamıyorum. büyük haksızlık.
",2025-05-25
Elden Ring,5,aşırı iyi oyun çok seviyorum ama grafikleri çok yüksek olduğundan oynayamadım.,2025-05-26
Overwatch 2,5,"AŞIRI İYİ OYUN 5000 SAATİM VAR aralıksız oynayabilirim mük.
",2025-05-27
Fortnite,1,bu oyun çok brainrot bir oyun ve çok pahalı. ve oyuncu kitelsi de çok toxic.,2025-05-29
